729910	448674
729910	455784
729910	486006
729910	629379
729910	629941
729910	687219
729910	725909
729910	867231
729910	877558
877558	11779
877558	40274
877558	162633
877558	211547
877558	286373
877558	302847
877558	312725
877558	366597
877558	381344
877558	398639
877558	402132
877558	420385
877558	424266
877558	455784
877558	481352
877558	486006
877558	496670
877558	519184
877558	567426
877558	606865
877558	687219
877558	756069
877558	870064
877558	908350
59	236155
59	476667
59	530002
59	639662
59	858556
236155	639662
476667	236155
476667	530002
476667	639662
530002	236155
530002	639662
639662	110507
639662	206007
639662	236155
639662	332618
639662	399713
639662	530002
639662	858556
858556	59
858556	236155
858556	442905
858556	476667
858556	530002
858556	577691
858556	639662
60	308674
60	362947
60	736699
308674	510713
308674	736699
308674	836735
362947	308674
362947	736699
736699	41909
736699	61957
736699	103323
736699	362947
736699	364067
736699	408590
736699	461894
736699	469152
736699	510713
736699	633314
736699	767267
736699	790598
736699	793910
736699	833752
736699	836735
736699	869334
62	191810
62	325393
62	455181
62	496487
62	635838
62	805946
62	823884
62	837891
62	873588
62	904695
191810	256479
191810	618824
191810	805946
191810	866428
191810	911239
325393	191810
325393	454979
325393	496487
325393	635838
325393	805946
325393	823884
325393	827981
325393	832640
325393	837891
325393	871440
325393	873588
455181	183501
455181	191810
455181	314661
455181	699471
455181	805946
455181	846767
455181	903892
455181	911239
455181	912370
496487	191810
496487	325393
496487	454979
496487	635838
496487	805946
496487	823884
496487	827981
496487	832640
496487	837891
496487	871440
496487	873588
635838	191810
635838	325393
635838	454979
635838	496487
635838	805946
635838	823884
635838	827981
635838	832640
635838	837891
635838	871440
635838	873588
805946	191810
805946	256479
805946	618824
805946	866428
805946	911239
823884	32007
823884	191810
823884	454979
823884	455181
823884	805946
823884	844706
823884	873588
823884	904695
837891	191810
837891	454979
837891	455181
837891	805946
837891	873588
873588	191810
873588	325393
873588	454979
873588	496487
873588	635838
873588	805946
873588	823884
873588	827981
873588	832640
873588	837891
873588	871440
904695	191810
904695	805946
63	43416
63	839683
63	864162
63	896811
43416	17047
43416	125969
43416	385868
43416	470839
43416	594133
43416	722625
43416	822742
43416	840229
43416	896811
839683	399186
839683	401880
839683	768050
839683	896811
864162	399186
864162	896811
64	21682
64	813327
21682	14619
21682	39469
21682	48630
21682	145205
21682	191902
21682	198191
21682	203507
21682	203834
21682	209428
21682	231893
21682	256910
21682	344458
21682	381464
21682	400660
21682	441587
21682	502979
21682	606407
21682	636250
21682	720120
21682	770106
21682	818384
21682	830070
21682	863299
21682	877059
21682	879894
813327	21682
813327	486281
813327	629364
813327	671848
813327	683729
813327	687948
65	363978
65	828021
363978	19323
363978	44361
363978	75641
363978	105301
363978	140386
363978	210680
363978	272000
363978	274045
363978	309976
363978	328774
363978	349533
363978	390659
363978	449125
363978	494333
363978	525493
363978	587935
363978	612145
363978	727946
363978	871952
363978	888032
67	911557
67	911764
911557	274269
911557	911764
911764	911557
68	85372
68	286245
68	287318
68	509001
68	653315
68	759364
68	874174
68	885496
68	895388
68	913298
85372	215336
85372	286245
85372	287318
85372	509001
85372	617999
85372	653315
85372	759364
85372	874174
85372	885496
85372	913298
286245	85372
286245	218920
286245	287318
286245	509001
286245	606730
286245	653315
286245	661666
286245	706487
286245	759364
286245	874174
286245	885496
286245	913298
287318	85372
287318	218920
287318	239820
287318	250118
287318	286245
287318	451993
287318	470510
287318	509001
287318	544762
